Dataset,Model,Accuracy,Precision,Recall,F1
Base,LogisticRegression,0.98898,0.5555555555555556,0.006042296072507553,0.011954572624028692
Base,RandomForest,0.98898,1.0,0.0012084592145015106,0.0024140012070006035
Variant III,LogisticRegression,0.9908066666666666,0.8791208791208791,0.1933534743202417,0.316988608221892
Variant III,RandomForest,0.9918466666666667,0.9481327800829875,0.27613293051359517,0.42770238652316334
Variant II,LogisticRegression,0.9890466666666666,0.7307692307692307,0.011480362537764351,0.022605591909577633
Variant II,RandomForest,0.9889933333333333,0.6666666666666666,0.004833836858006042,0.009598080383923215
Variant IV,LogisticRegression,0.9889933333333333,0.7,0.004229607250755287,0.008408408408408409
Variant IV,RandomForest,0.9889933333333333,1.0,0.002416918429003021,0.004822182037371911
Variant I,LogisticRegression,0.98898,0.6666666666666666,0.002416918429003021,0.00481637567730283
Variant I,RandomForest,0.98902,1.0,0.004833836858006042,0.009621166566446182
Variant V,LogisticRegression,0.9899733333333334,0.8952879581151832,0.10332326283987915,0.18526543878656554
Variant V,RandomForest,0.99094,0.9713375796178344,0.18429003021148035,0.30980192991366173
