Dataset,Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,BestThreshold,TrainTimeSec
Base,AdaBoost,0.9774533333333333,0.16595744680851063,0.259214501510574,0.20235849056603775,0.8664479255968089,0.12053656392992299,0.53,5986.735951662064
Base,CatBoost,0.9825333333333334,0.22507122507122507,0.23867069486404835,0.2316715542521994,0.8844676129040667,0.15429978947868073,0.16,243.54515600204468
Base,ExtraTrees,0.9793666666666667,0.17420814479638008,0.2326283987915408,0.19922380336351875,0.8556140005553724,0.11525055701584921,0.3,158.04781460762024
Base,LightGBM,0.9804866666666666,0.202803738317757,0.2622356495468278,0.2287220026350461,0.8834284536567052,0.14809293824507344,0.16,126.24100923538208
Base,LogisticRegression,0.9787266666666666,0.16637706342311034,0.23141993957703927,0.193580995703816,0.8501782904002558,0.11580421773709693,0.92,6.624018669128418
Base,RandomForest,0.97574,0.16073871409028728,0.283987915407855,0.20528499672417558,0.8639452105959825,0.11415721426638414,0.22,261.15667963027954
Base,XGBoost,0.9778066666666667,0.1834341906202723,0.2930513595166163,0.22563386834147475,0.8794195901018275,0.1505031358541399,0.14,78.31855988502502
Variant I,AdaBoost,0.9808466666666666,0.18543388429752067,0.21691842900302113,0.1999443052074631,0.8585339962907972,0.12801186084709887,0.53,948.7530083656311
Variant I,CatBoost,0.98252,0.2213256484149856,0.23202416918429003,0.22654867256637168,0.8750510888566183,0.16100782208754597,0.16,41.08367562294006
Variant I,ExtraTrees,0.98176,0.18557300756253636,0.19274924471299093,0.1890930646117368,0.8470504709616341,0.11658141233445354,0.32,188.57885360717773
Variant I,LightGBM,0.9808066666666667,0.20520231213872833,0.25740181268882173,0.22835700884481372,0.876679586319919,0.16139585130834758,0.16,21.87273144721985
Variant I,LogisticRegression,0.975,0.14065180102915953,0.24773413897280966,0.17943107221006566,0.8397884860340765,0.09835950279106757,0.9,30.799949169158936
Variant I,RandomForest,0.97682,0.15803303303303304,0.254380664652568,0.19495253530909934,0.8471869577317268,0.11288061252050736,0.21000000000000002,399.85990357398987
Variant I,XGBoost,0.9832733333333333,0.22906091370558376,0.21812688821752266,0.22346022903125967,0.8709417572880397,0.15258275778163818,0.2,16.16200280189514
Variant II,AdaBoost,0.97948,0.17907081641858366,0.23987915407854984,0.20506198347107438,0.8805653820567492,0.1335147271162104,0.53,831.6332030296326
Variant II,CatBoost,0.9827533333333334,0.23218390804597702,0.24410876132930515,0.23799705449189984,0.8943767625866826,0.16462422050738662,0.17,19.630195379257202
Variant II,ExtraTrees,0.9807333333333333,0.18828874305906107,0.2253776435045317,0.20517051705170516,0.8714882562785635,0.1263629078253785,0.32,118.36061525344849
Variant II,LightGBM,0.98054,0.20929162833486661,0.27492447129909364,0.2376599634369287,0.8977758570670823,0.16172811616178526,0.17,11.618986129760742
Variant II,LogisticRegression,0.97832,0.17421460628314975,0.2580060422960725,0.2079883097905504,0.8730114162920822,0.1345455025772959,0.92,5.590780973434448
Variant II,RandomForest,0.9763333333333334,0.1667252901864228,0.286404833836858,0.21076033792796797,0.8752070757732928,0.12177580004700381,0.23,242.86031007766724
Variant II,XGBoost,0.9789666666666667,0.19033856317093312,0.2785498489425982,0.22614667647780232,0.8906168838276987,0.15919747375846877,0.15000000000000002,10.066167116165161
Variant III,AdaBoost,0.9867733333333333,0.3929733246584255,0.3649546827794562,0.37844611528822053,0.9308508265261868,0.3570483152763546,0.54,1362.7879037857056
Variant III,CatBoost,0.992,0.7454153182308522,0.4175226586102719,0.5352439969016266,0.958634464304498,0.5419222994939992,0.38,19.754273414611816
Variant III,ExtraTrees,0.9893733333333333,0.5225424981522543,0.427190332326284,0.47007978723404253,0.935211737479353,0.4554548920208694,0.36000000000000004,543.4020779132843
Variant III,LightGBM,0.99218,0.7862232779097387,0.4,0.5302362835402483,0.9595767602649942,0.5359227610970096,0.44,11.935497283935547
Variant III,LogisticRegression,0.9862666666666666,0.3542116630669546,0.2972809667673716,0.3232588699080158,0.9140817554082868,0.2873108270681244,0.9600000000000001,9.246710538864136
Variant III,RandomForest,0.9911866666666667,0.6697247706422018,0.3969788519637462,0.4984825493171472,0.9431270088842261,0.49104248907282205,0.46,2281.911578655243
Variant III,XGBoost,0.9918466666666667,0.7288135593220338,0.41570996978851965,0.5294343978453251,0.9559745078605956,0.5287503604304515,0.4,8.497159242630005
Variant IV,AdaBoost,0.9777333333333333,0.16041918581217252,0.2404833836858006,0.19245647969052224,0.8727283759921527,0.12083941188157142,0.53,872.1550159454346
Variant IV,CatBoost,0.9811666666666666,0.20953326713008938,0.25498489425981874,0.23003543199781956,0.8927162869195562,0.15347734070939512,0.15000000000000002,20.491066694259644
Variant IV,ExtraTrees,0.9722933333333333,0.13595342066957788,0.2821752265861027,0.18349705304518665,0.8578409030390596,0.10757018317207193,0.25,121.94514966011047
Variant IV,LightGBM,0.98132,0.21253132832080202,0.25619335347432026,0.23232876712328768,0.8930043758736244,0.14848501002451464,0.17,11.896151781082153
Variant IV,LogisticRegression,0.9721133333333334,0.13383545770567787,0.2791540785498489,0.1809281378500098,0.8572851865379949,0.11493208746258325,0.9,5.425674200057983
Variant IV,RandomForest,0.9787666666666667,0.16883116883116883,0.23564954682779457,0.19672131147540983,0.8682083418063082,0.111014700000649,0.24000000000000002,253.448716878891
Variant IV,XGBoost,0.9798666666666667,0.19626168224299065,0.2664652567975831,0.22603792926704255,0.885251797806595,0.14616658517466338,0.16,8.114619255065918
Variant V,AdaBoost,0.98562,0.32248939179632247,0.2755287009063444,0.29716520039100686,0.9007555629641404,0.2632532685952771,0.54,1142.6366648674011
Variant V,CatBoost,0.99074,0.6713917525773195,0.3148036253776435,0.4286301933360757,0.9361645849029763,0.43138444763917255,0.34,40.70875334739685
Variant V,ExtraTrees,0.9875,0.41459627329192544,0.32265861027190335,0.36289500509684,0.9033514754279314,0.32459980691635265,0.36000000000000004,188.47801780700684
Variant V,LightGBM,0.99046,0.6275626423690205,0.3329305135951662,0.43505724437425974,0.9342731215987391,0.42807788801744656,0.33,23.521822690963745
Variant V,LogisticRegression,0.9829,0.25136612021857924,0.27794561933534745,0.26398852223816355,0.8855797139007737,0.20941794578126335,0.9400000000000001,12.158292293548584
Variant V,RandomForest,0.98964,0.5541264737406216,0.31238670694864046,0.3995363214837713,0.9054798263091904,0.3712272555064634,0.4,471.0934474468231
Variant V,XGBoost,0.99086,0.695054945054945,0.3057401812688822,0.42467477968946704,0.9275755533943034,0.4145413596096721,0.41000000000000003,17.598904609680176
